xName,size
AAK1,10.487934705464868
ABL1,18.365862313697658
ABL2,10.124201561391057
ACK,11.197657913413769
ACTR2,10.0
ACTR2B,10.017743080198722
AKT1,22.863733144073812
AKT2,14.027679205110008
AKT3,12.093683463449254
ALK,19.412704045422284
ALK1,10.248403122782115
ALK2,11.091199432221433
ALK4,10.221788502484031
AMPKa1,10.026614620298083
ANKRD3,10.008871540099362
ANPa,10.044357700496807
ARAF,10.221788502484031
ATM,11.34847409510291
ATR,11.99609652235628
AXL,13.726046841731725
AurA,24.48722498225692
AurB,20.5305180979418
AurC,10.275017743080198
BARK1,11.792051100070973
BARK2,10.062100780695529
BCR,10.017743080198722
BLK,10.585521646557842
BMPR1A,10.159687721788503
BMPR1B,10.07984386089425
BMPR2,10.062100780695529
BMX,11.011355571327183
BRAF,27.414833215046134
BRD2,11.658977998580554
BRD3,11.366217175301632
BRD4,25.773598296664304
BRDT,10.523420865862313
BRK,11.21540099361249
BRSK1,10.0
BRSK2,10.026614620298083
BTK,21.21362668559262
BUB1,10.044357700496807
CDC2,17.851312987934705
CDC7,12.48403122782115
CDK11,10.026614620298083
CDK2,21.240241305890702
CDK3,10.026614620298083
CDK4,12.439673527324343
CDK5,11.286373314407381
CDK6,10.585521646557842
CDK7,10.78069552874379
CDK8,11.729950319375444
CDK9,10.718594748048261
CDKL1,10.0
CHED,10.008871540099362
CHK1,24.380766501064585
CHK2,12.84776437189496
CK1a,10.523420865862313
CK1d,12.120298083747338
CK1e,10.913768630234209
CK1g1,10.07984386089425
CK1g2,10.230660042583393
CK1g3,10.026614620298083
CK2a1,11.48154719659333
CK2a2,10.381476224272534
CLK1,12.510645848119234
CLK2,10.887154009936125
CLK3,10.35486160397445
CLK4,11.729950319375444
COT,11.898509581263307
CRK7,10.044357700496807
CSK,10.505677785663591
CTK,10.0
CaMK1a,10.053229240596167
CaMK1b,10.017743080198722
CaMK1d,10.150816181689141
CaMK1g,10.008871540099362
CaMK2a,10.14194464158978
CaMK2b,10.035486160397445
CaMK2d,10.816181689141235
CaMK2g,10.008871540099362
CaMK4,10.035486160397445
CaMKK1,10.0
CaMKK2,10.576650106458482
DAPK1,10.257274662881477
DAPK2,10.07984386089425
DAPK3,10.266146202980838
DCLK1,10.266146202980838
DDR1,11.446061036195884
DDR2,11.454932576295246
DLK,10.0
DMPK1,10.017743080198722
DRAK1,10.292760823278922
DRAK2,10.541163946061037
DYRK1A,15.60681334279631
DYRK1B,12.315471965933286
DYRK2,11.357345635202272
DYRK3,10.56777856635912
DYRK4,10.017743080198722
EGFR,60.0
EphA1,10.053229240596167
EphA2,10.789567068843152
EphA3,10.115330021291696
EphA4,10.248403122782115
EphA5,10.017743080198722
EphA6,10.008871540099362
EphA7,10.044357700496807
EphA8,10.07984386089425
EphB1,10.053229240596167
EphB2,10.28388928317956
EphB3,10.35486160397445
EphB4,14.347054648687012
EphB6,10.008871540099362
ErbB2,23.537970191625263
ErbB3,10.399219304471256
ErbB4,11.437189496096522
Erk1,11.037970191625266
Erk2,14.6930447125621
Erk5,10.674237047551454
Erk7,10.035486160397445
FAK,14.604329311568488
FER,10.204045422285308
FES,10.07097232079489
FGFR1,20.317601135557133
FGFR2,11.91625266146203
FGFR3,11.295244854506743
FGFR4,11.56139105748758
FGR,10.337118523775727
FLT1,16.511710432931157
FLT3,24.726756564939677
FLT4,12.244499645138395
FMS,16.502838892831797
FRAP,22.677430801987224
FRK,10.088715400993612
FYN,11.259758694109298
GAK,10.275017743080198
GCK,10.674237047551454
GCN2,10.168559261887864
GPRK4,10.053229240596167
GPRK5,11.100070972320795
GPRK6,10.035486160397445
GPRK7,10.035486160397445
GSK3A,12.661462029808375
GSK3B,29.508516678495386
HCK,13.016323633782825
HGK,10.896025550035485
HH498,11.330731014904188
HIPK1,10.13307310149042
HIPK2,10.07097232079489
HIPK3,10.008871540099362
HIPK4,10.008871540099362
HPK1,10.0
HRI,10.292760823278922
Haspin,10.275017743080198
IGF1R,20.01596877217885
IKKa,12.892122072391768
IKKb,18.481192334989352
IKKe,11.304116394606103
ILK,10.0
INSR,15.660042583392478
IRAK1,10.177430801987224
IRAK3,10.0
IRAK4,14.74627395315827
IRE1,10.523420865862313
IRE2,10.0
IRR,10.008871540099362
ITK,15.420511000709723
JAK1,19.21753016323634
JAK2,24.41625266146203
JAK3,23.369410929737402
JNK1,18.481192334989352
JNK2,14.524485450674238
JNK3,16.44960965223563
KDR,59.272533711852375
KHS1,10.035486160397445
KHS2,10.017743080198722
KIT,17.82469836763662
KSR1,10.0
KSR2,10.0
LCK,23.520227111426543
LIMK1,12.04932576295245
LIMK2,11.623491838183108
LMR3,10.062100780695529
LRRK2,14.116394606103619
LTK,10.13307310149042
LYN,12.111426543647976
MAP2K1,15.660042583392478
MAP2K2,10.07984386089425
MAP2K3,10.035486160397445
MAP2K4,10.0
MAP2K5,10.053229240596167
MAP2K6,10.07097232079489
MAP2K7,10.008871540099362
MAP3K1,10.026614620298083
MAP3K2,10.035486160397445
MAP3K5,11.588005677785663
MAP3K6,10.0
MAPKAPK2,16.831085876508162
MAPKAPK3,10.088715400993612
MAPKAPK5,10.319375443577005
MARK1,10.053229240596167
MARK2,10.017743080198722
MARK3,10.532292405961675
MARK4,10.186302342086586
MAST3,10.044357700496807
MELK,10.78069552874379
MER,12.226756564939674
MET,32.17885024840312
MINK,10.14194464158978
MLK1,10.505677785663591
MLK2,10.195173882185948
MLK3,10.452448545067424
MLK4,10.0
MNK1,12.235628105039034
MNK2,11.268630234208658
MPSK1,10.017743080198722
MRCKa,10.230660042583393
MSK1,10.674237047551454
MSK2,10.026614620298083
MSSK1,10.0
MST2,10.159687721788503
MST3,10.0
MST4,10.14194464158978
MUSK,10.008871540099362
MYT1,10.044357700496807
Map4k2,10.408090844570618
NEK1,10.088715400993612
NEK2,11.082327892122072
NEK3,10.008871540099362
NEK4,10.053229240596167
NEK5,10.0
NEK6,10.159687721788503
NEK7,10.0
NEK8,10.0
NIK,11.082327892122072
NLK,10.0
NuaK1,10.275017743080198
PAK1,10.975869410929738
PAK2,10.07097232079489
PAK3,10.062100780695529
PAK4,10.93151171043293
PAK5,10.017743080198722
PAK6,10.0
PASK,10.044357700496807
PBK,10.337118523775727
PDGFRa,13.575230660042584
PDGFRb,18.720723917672107
PDHK1,11.037970191625266
PDHK2,10.523420865862313
PDHK3,10.195173882185948
PDHK4,10.328246983676367
PDK1,12.581618168914122
PEK,10.860539389638042
PFTAIRE1,10.062100780695529
PHKg1,10.008871540099362
PHKg2,10.008871540099362
PI4K2A,10.0
PI4KA,10.745209368346345
PI4KB,12.510645848119234
PIK3C2A,10.150816181689141
PIK3C2B,10.42583392476934
PIK3C2G,10.062100780695529
PIK3C3,10.479063165365508
PIK3R4,10.0
PIM1,19.137686302342086
PIM2,15.429382540809083
PIM3,12.900993612491128
PIP4K2A,10.345990063875089
PIP4K2B,10.28388928317956
PIP4K2C,10.017743080198722
PIP5K1C,10.13307310149042
PITSLRE,10.0
PKACa,10.452448545067424
PKACb,10.008871540099362
PKACg,10.0
PKCa,14.33818310858765
PKCb,13.105039034776437
PKCd,14.098651525904897
PKCe,12.421930447125622
PKCg,11.4194464158978
PKCh,11.70333569907736
PKCi,10.629879347054649
PKCt,14.817246273953158
PKCz,11.641234918381832
PKD1,10.904897090134847
PKD2,10.399219304471256
PKD3,10.026614620298083
PKG1,10.035486160397445
PKG2,10.0
PKN1,10.177430801987224
PKN2,10.186302342086586
PKN3,10.0
PKR,10.621007806955287
PLK1,16.289921930447125
PLK2,11.446061036195884
PLK3,11.4194464158978
PLK4,11.13555713271824
PRKX,10.008871540099362
PYK2,10.798438608942513
QIK,10.026614620298083
QSK,10.0
RAF1,15.003548616039744
RET,14.524485450674238
RHOK,10.124201561391057
RIPK1,11.783179559971611
RIPK2,10.93151171043293
RIPK3,10.221788502484031
RNAseL,10.088715400993612
ROCK1,15.305180979418026
ROCK2,18.286018452803404
RON,10.674237047551454
ROS,11.1444286728176
RSK1,10.443577004968063
RSK2,12.20901348474095
RSK3,10.550035486160397
RSK4,10.177430801987224
SGK1,10.860539389638042
SGK2,10.017743080198722
SGK3,10.008871540099362
SIK,10.026614620298083
SLK,10.026614620298083
SMG1,10.177430801987224
SRC,31.80624556422995
SRM,10.044357700496807
SRPK1,10.062100780695529
SSTK,10.0
STK33,10.195173882185948
SYK,15.988289567068843
SgK085,10.0
SgK269,10.0
SgK496,10.0
TAF1,10.913768630234209
TAF1L,10.008871540099362
TAK1,11.055713271823988
TAO1,10.008871540099362
TAO2,10.07097232079489
TAO3,10.0
TBK1,11.658977998580554
TEC,10.443577004968063
TESK1,10.035486160397445
TESK2,10.044357700496807
TGFbR1,16.662526614620297
TGFbR2,10.718594748048261
TIE1,10.026614620298083
TIE2,16.431866572036906
TIF1a,10.514549325762953
TIF1g,10.0
TNIK,10.275017743080198
TRKA,15.429382540809083
TRKB,11.960610361958835
TRKC,10.771823988644428
TSSK1,10.07984386089425
TSSK2,10.026614620298083
TSSK3,10.017743080198722
TTBK1,10.008871540099362
TTBK2,10.008871540099362
TTK,13.575230660042584
TXK,10.514549325762953
TYK2,15.172107877927608
TYRO3,12.48403122782115
ULK1,10.372604684173172
ULK2,10.044357700496807
VRK1,10.044357700496807
VRK2,10.0
Wee1,12.359829666430091
Wnk1,10.097586941092974
Wnk2,10.008871540099362
Wnk3,10.026614620298083
YES,10.798438608942513
YSK1,10.0
ZAK,10.452448545067424
ZAP70,11.863023420865863
eEF2K,10.576650106458482
p110a,36.69446415897799
p110b,23.626685592618877
p110d,29.082682753726047
p110g,27.11320085166785
p38a,40.642299503193755
p38b,11.588005677785663
p38d,10.408090844570618
p38g,10.21291696238467
p70S6K,11.1444286728176
p70S6Kb,10.13307310149042
skMLCK,10.035486160397445
smMLCK,10.612136266855925
