"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL442957";"";"0";"298.37";"0";"3.67";"24";"Cc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1";"Ki";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"22.97";"0.45";"3.18";"9.66";"False";"CHEMBL658107";"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149116";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None"
"CHEMBL297447";"";"0";"300.36";"0";"4.10";"15";"Cc1nc(C)c(-c2ccnc(Nc3ccccc3F)n2)s1";"Ki";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"19.71";"0.39";"1.82";"11.68";"False";"CHEMBL658107";"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149116";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None"
"CHEMBL44119";"";"0";"313.39";"0";"3.40";"22";"CNc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"22.20";"0.43";"3.56";"8.39";"False";"CHEMBL658107";"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149116";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None"
"CHEMBL379218";"";"0";"358.45";"0";"3.88";"11g";"Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12";"Ki";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"20.47";"0.37";"3.46";"9.55";"False";"CHEMBL866208";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137422";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None"
"CHEMBL210618";"";"0";"356.38";"0";"2.13";"6o";"CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N";"Ki";"'='";"820.0";"nM";"6.09";"";"";"UO_0000065";"17.08";"0.32";"3.96";"5.09";"False";"CHEMBL860196";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148638";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL45408";"";"0";"327.37";"0";"3.87";"27";"Cc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1";"Ki";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"21.26";"0.41";"3.09";"7.42";"False";"CHEMBL658107";"Inhibitory activity against human CDK2 (Cyclin dependent kinase 2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149116";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None"
"CHEMBL214025";"";"0";"387.42";"0";"2.46";"31";"CCOC(=O)N1CCC(Nc2ncc(C(=O)c3ccccc3F)c(N)n2)CC1";"Ki";"'='";"3137.0";"nM";"5.50";"";"";"UO_0000065";"14.21";"0.27";"3.04";"4.98";"False";"CHEMBL908827";"Inhibition of CDK2/Cyclin E";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137323";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL217537";"";"0";"369.43";"0";"1.72";"27";"COc1ccccc1C(=O)c1cnc(NC2CCN(C(C)=O)CC2)nc1N";"Ki";"'='";"327.0";"nM";"6.49";"";"";"UO_0000065";"17.56";"0.33";"4.77";"5.87";"False";"CHEMBL908827";"Inhibition of CDK2/Cyclin E";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137323";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL384304";"RG-547";"2";"441.46";"0";"1.41";"39, R547";"COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N";"Ki";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"19.31";"0.39";"7.11";"6.68";"False";"CHEMBL908827";"Inhibition of CDK2/Cyclin E";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137323";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None"
"CHEMBL373598";"";"0";"447.88";"0";"3.35";"16a";"N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL913842";"Inhibition of Cdk2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142994";"1";"Scientific Literature";"J. Med. Chem.";"2007";"None"
