"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL514140";"";"0";"445.93";"1";"5.42";"8f";"CSc1nc(NCc2ccccc2F)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1";"Ki";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"14.51";"0.29";"1.05";"11.63";"False";"CHEMBL962773";"Inhibition of human recombinant Abl by filter-binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140987";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2008";"None"
"CHEMBL231220";"";"0";"539.06";"1";"4.48";"26";"Cc1cc(-c2c(O)cccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"1620.0";"nM";"5.79";"";"";"UO_0000065";"10.74";"0.21";"1.31";"4.81";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL250021";"";"0";"567.12";"2";"5.21";"13";"CCN(CCN1CCCC1)S(=O)(=O)c1ccc(Nc2nnc3cc(-c4cc(O)ccc4Cl)cc(C)c3n2)cc1";"Ki";"'='";"66.0";"nM";"7.18";"";"";"UO_0000065";"12.66";"0.25";"1.97";"6.44";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL249819";"";"0";"524.00";"1";"3.97";"9";"Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(C(=O)N4CCS(=O)(=O)CC4)cc3)nc12";"Ki";"'='";"820.0";"nM";"6.09";"";"";"UO_0000065";"11.61";"0.23";"2.12";"4.85";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL400303";"";"0";"573.51";"2";"5.13";"20";"Cc1cc(-c2c(Cl)ccc(O)c2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12";"Ki";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"12.73";"0.26";"2.17";"6.07";"False";"CHEMBL923929";"Inhibition of Abl-T315I mutant";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140465";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
"CHEMBL270492";"";"0";"399.83";"0";"4.70";"15";"Fc1ccc(C(Cl)Cn2ncc3c(NCc4ccccc4F)ncnc32)cc1";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"19.26";"0.38";"3.00";"13.84";"False";"CHEMBL948149";"Binding affinity to human recombinant Abl by cell free assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142337";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None"
"CHEMBL288280";"";"0";"409.95";"1";"5.14";"1";"CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1";"Ki";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"16.06";"0.32";"1.45";"11.84";"True";"CHEMBL1056610";"Inhibition of human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153611";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2009";"None"
"CHEMBL403731";"";"0";"440.78";"1";"5.50";"6b";"O=C(Nc1nnc(SCc2ccc(Br)cc2)s1)c1ccc(Cl)cc1";"Ki";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"16.62";"0.42";"1.83";"13.35";"False";"CHEMBL932076";"Inhibition of human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142311";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL255738";"";"0";"363.41";"0";"4.36";"6a";"O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccc(F)cc1";"Ki";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"20.24";"0.42";"3.00";"13.40";"False";"CHEMBL932076";"Inhibition of human recombinant Abl";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142311";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None"
"CHEMBL248222";"";"0";"450.54";"1";"5.49";"26";"COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCc1cccnc1";"Ki";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"12.75";"0.23";"0.25";"7.18";"False";"CHEMBL923923";"Inhibition of ABL";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"CHEMBL1862";"Tyrosine-protein kinase ABL";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140464";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None"
