,ChEMBL_ID,smiles,pIC50
0,CHEMBL53711,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.221848749616356
1,CHEMBL35820,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.221848749616356
2,CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056
3,CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056
4,CHEMBL176582,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,11.0
5,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.602059991327963
6,CHEMBL174426,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,10.602059991327963
7,CHEMBL327307,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.142667503568733
8,CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.045757490560677
9,CHEMBL54400,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056647693165
10,CHEMBL51853,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056647693165
11,CHEMBL418967,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551078621726
12,CHEMBL592617,Brc1cccc(Nc2ncnc3ccc(NC(=O)CC#N)cc23)c1,9.769551078621726
13,CHEMBL166093,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727494896694
14,CHEMBL165864,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399047173
15,CHEMBL166154,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399047173
16,CHEMBL161956,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319177793
17,CHEMBL2031300,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.638272163982409
18,CHEMBL316064,COc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cc1OC,9.619788758288394
