Property,Value
name,"4-({3-Chloro-4-[3-(Trifluoromethyl)phenoxy]phenyl}amino)-N-[2-(Methylsulfonyl)ethyl]-8,9-Dihydro-7h-Pyrimido[4,5-B]azepine-6-Carboxamide"
iupac_name,"4-[3-chloro-4-[3-(trifluoromethyl)phenoxy]anilino]-N-(2-methylsulfonylethyl)-8,9-dihydro-7H-pyrimido[4,5-b]azepine-6-carboxamide"
smiles,CS(=O)(=O)CCNC(=O)C1=CC2=C(NCC1)N=CN=C2NC3=CC(=C(C=C3)OC4=CC=CC(=C4)C(F)(F)F)Cl
cid,59484694
inchi,"InChI=1S/C25H23ClF3N5O4S/c1-39(36,37)10-9-31-24(35)15-7-8-30-22-19(11-15)23(33-14-32-22)34-17-5-6-21(20(26)13-17)38-18-4-2-3-16(12-18)25(27,28)29/h2-6,11-14H,7-10H2,1H3,(H,31,35)(H2,30,32,33,34)"
inchikey,QRXMEGUJRZKMEO-UHFFFAOYSA-N
mol_weight,582.004
num_H_acceptors,8
num_H_donors,3
logp,5.04
tpsa,122.31
num_rot_bonds,8
saturation,0.24
drug_score_qed,0.34
drug_score_lipinski,0.5
drug_score_custom,0.32
drug_score_total,0.36
