,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL63786,0.003,nM,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280337
1,CHEMBL35820,0.006,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.221848749616356
2,CHEMBL53711,0.006,nM,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.221848749616356
3,CHEMBL53753,0.008,nM,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056
4,CHEMBL66031,0.008,nM,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056
5,CHEMBL176582,0.01,nM,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,11.0
6,CHEMBL174426,0.025,nM,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,10.602059991327963
7,CHEMBL29197,0.025,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.602059991327963
8,CHEMBL1243316,0.03,nM,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,10.522878745280337
9,CHEMBL363815,0.037,nM,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.431798275933005
10,CHEMBL3613702,0.037,nM,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,10.431798275933005
11,CHEMBL275762,0.07,nM,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.154901959985743
12,CHEMBL327307,0.072,nM,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.142667503568731
13,CHEMBL180022,0.08,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,10.096910013008056
14,CHEMBL53428,0.09,nM,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.045757490560675
15,CHEMBL55729,0.1,nM,Nc1ccc2cncnc2c1,10.0
16,CHEMBL420624,0.1,nM,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10.0
17,CHEMBL190094,0.11,nM,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,9.958607314841775
18,CHEMBL193160,0.12,nM,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,9.920818753952375
19,CHEMBL328216,0.12,nM,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.920818753952375
20,CHEMBL3930620,0.12,nM,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.920818753952375
21,CHEMBL51853,0.13,nM,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056647693163
22,CHEMBL54400,0.13,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056647693163
