Property,Value
name,Rilpivirine
iupac_name,"4-[[4-[4-[(E)-2-cyanoethenyl]-2,6-dimethylanilino]pyrimidin-2-yl]amino]benzonitrile"
smiles,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)C=CC#N
cid,6451164
inchi,"InChI=1S/C22H18N6/c1-15-12-18(4-3-10-23)13-16(2)21(15)27-20-9-11-25-22(28-20)26-19-7-5-17(14-24)6-8-19/h3-9,11-13H,1-2H3,(H2,25,26,27,28)/b4-3+"
inchikey,YIBOMRUWOWDFLG-ONEGZZNKSA-N
mol_weight,366.428
num_H_acceptors,6
num_H_donors,2
logp,4.99
tpsa,97.42
num_rot_bonds,5
saturation,0.09
drug_score_qed,0.62
drug_score_lipinski,1.0
drug_score_custom,0.6
drug_score_total,0.68
