Property,Value
name,Triazinate
iupac_name,"3-[[2-chloro-4-(4,6-diamino-2,2-dimethyl-1,3,5-triazin-1-yl)phenoxy]methyl]-N,N-dimethylbenzamide;ethanesulfonic acid"
smiles,CCS(=O)(=O)O.CC1(N=C(N=C(N1C2=CC(=C(C=C2)OCC3=CC(=CC=C3)C(=O)N(C)C)Cl)N)N)C
cid,38777
inchi,"InChI=1S/C21H25ClN6O2.C2H6O3S/c1-21(2)26-19(23)25-20(24)28(21)15-8-9-17(16(22)11-15)30-12-13-6-5-7-14(10-13)18(29)27(3)4;1-2-6(3,4)5/h5-11H,12H2,1-4H3,(H4,23,24,25,26);2H2,1H3,(H,3,4,5)"
inchikey,HKPVIFTWECXNPY-UHFFFAOYSA-N
mol_weight,539.058
num_H_acceptors,9
num_H_donors,3
logp,2.7
tpsa,163.91
num_rot_bonds,6
saturation,0.35
drug_score_qed,0.47
drug_score_lipinski,0.75
drug_score_custom,0.42
drug_score_total,0.5
