Property,Value
name,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine"
iupac_name,"1-methyl-6-phenylimidazo[4,5-b]pyridin-2-amine"
smiles,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N
cid,1530
inchi,"InChI=1S/C13H12N4/c1-17-11-7-10(9-5-3-2-4-6-9)8-15-12(11)16-13(17)14/h2-8H,1H3,(H2,14,15,16)"
inchikey,UQVKZNNCIHJZLS-UHFFFAOYSA-N
mol_weight,224.267
num_H_acceptors,4
num_H_donors,1
logp,2.22
tpsa,56.73
num_rot_bonds,1
saturation,0.08
drug_score_qed,0.69
drug_score_lipinski,1.0
drug_score_custom,0.74
drug_score_total,0.76
