Property,Value
name,"2-Amino-3,4-dimethylimidazo(4,5-F)quinoline"
iupac_name,"3,4-dimethylimidazo[4,5-f]quinolin-2-amine"
smiles,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C
cid,62274
inchi,"InChI=1S/C12H12N4/c1-7-6-9-8(4-3-5-14-9)10-11(7)16(2)12(13)15-10/h3-6H,1-2H3,(H2,13,15)"
inchikey,GMGWMIJIGUYNAY-UHFFFAOYSA-N
mol_weight,212.256
num_H_acceptors,4
num_H_donors,1
logp,2.01
tpsa,56.73
num_rot_bonds,0
saturation,0.17
drug_score_qed,0.62
drug_score_lipinski,1.0
drug_score_custom,0.7
drug_score_total,0.71
