Property,Value
name,Avanafil
iupac_name,4-[(3-chloro-4-methoxyphenyl)methylamino]-2-[(2S)-2-(hydroxymethyl)pyrrolidin-1-yl]-N-(pyrimidin-2-ylmethyl)pyrimidine-5-carboxamide
smiles,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl
cid,9869929
inchi,"InChI=1S/C23H26ClN7O3/c1-34-19-6-5-15(10-18(19)24)11-27-21-17(22(33)28-13-20-25-7-3-8-26-20)12-29-23(30-21)31-9-2-4-16(31)14-32/h3,5-8,10,12,16,32H,2,4,9,11,13-14H2,1H3,(H,28,33)(H,27,29,30)/t16-/m0/s1"
inchikey,WEAJZXNPAWBCOA-INIZCTEOSA-N
mol_weight,483.96
num_H_acceptors,9
num_H_donors,3
logp,2.43
tpsa,125.39
num_rot_bonds,9
saturation,0.35
drug_score_qed,0.42
drug_score_lipinski,1.0
drug_score_custom,0.4
drug_score_total,0.51
