Property,Value
name,1-(3-(2-(4-(2-Methyl-5-quinolinyl)-1-piperazinyl)ethyl)phenyl)-2-imidazolidinone
iupac_name,1-[3-[2-[4-(2-methylquinolin-5-yl)piperazin-1-yl]ethyl]phenyl]imidazolidin-2-one
smiles,CC1=NC2=C(C=C1)C(=CC=C2)N3CCN(CC3)CCC4=CC(=CC=C4)N5CCNC5=O
cid,11292933
inchi,"InChI=1S/C25H29N5O/c1-19-8-9-22-23(27-19)6-3-7-24(22)29-16-14-28(15-17-29)12-10-20-4-2-5-21(18-20)30-13-11-26-25(30)31/h2-9,18H,10-17H2,1H3,(H,26,31)"
inchikey,ANGUXJDGJCHGOG-UHFFFAOYSA-N
mol_weight,415.541
num_H_acceptors,4
num_H_donors,1
logp,3.44
tpsa,51.71
num_rot_bonds,5
saturation,0.36
drug_score_qed,0.69
drug_score_lipinski,1.0
drug_score_custom,0.77
drug_score_total,0.77
