Property,Value
name,Poziotinib
iupac_name,"1-[4-[4-(3,4-dichloro-2-fluoroanilino)-7-methoxyquinazolin-6-yl]oxypiperidin-1-yl]prop-2-en-1-one"
smiles,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C
cid,25127713
inchi,"InChI=1S/C23H21Cl2FN4O3/c1-3-20(31)30-8-6-13(7-9-30)33-19-10-14-17(11-18(19)32-2)27-12-28-23(14)29-16-5-4-15(24)21(25)22(16)26/h3-5,10-13H,1,6-9H2,2H3,(H,27,28,29)"
inchikey,LPFWVDIFUFFKJU-UHFFFAOYSA-N
mol_weight,491.35
num_H_acceptors,6
num_H_donors,1
logp,5.38
tpsa,76.58
num_rot_bonds,6
saturation,0.26
drug_score_qed,0.37
drug_score_lipinski,0.75
drug_score_custom,0.55
drug_score_total,0.49
