Property,Value
name,"N-(3-chlorophenyl)-6,7-dimethoxyquinazolin-4-amine"
iupac_name,"N-(3-chlorophenyl)-6,7-dimethoxyquinazolin-4-amine"
smiles,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC
cid,2051
inchi,"InChI=1S/C16H14ClN3O2/c1-21-14-7-12-13(8-15(14)22-2)18-9-19-16(12)20-11-5-3-4-10(17)6-11/h3-9H,1-2H3,(H,18,19,20)"
inchikey,GFNNBHLJANVSQV-UHFFFAOYSA-N
mol_weight,315.76
num_H_acceptors,5
num_H_donors,1
logp,4.04
tpsa,56.27
num_rot_bonds,4
saturation,0.12
drug_score_qed,0.79
drug_score_lipinski,1.0
drug_score_custom,0.77
drug_score_total,0.82
