Property,Value
name,Lexibulin
iupac_name,1-ethyl-3-[2-methoxy-4-[5-methyl-4-[[(1S)-1-pyridin-3-ylbutyl]amino]pyrimidin-2-yl]phenyl]urea
smiles,CCCC(C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC
cid,11351021
inchi,"InChI=1S/C24H30N6O2/c1-5-8-19(18-9-7-12-25-15-18)28-22-16(3)14-27-23(30-22)17-10-11-20(21(13-17)32-4)29-24(31)26-6-2/h7,9-15,19H,5-6,8H2,1-4H3,(H2,26,29,31)(H,27,28,30)/t19-/m0/s1"
inchikey,MTJHLONVHHPNSI-IBGZPJMESA-N
mol_weight,434.544
num_H_acceptors,6
num_H_donors,3
logp,4.95
tpsa,101.06
num_rot_bonds,9
saturation,0.33
drug_score_qed,0.44
drug_score_lipinski,1.0
drug_score_custom,0.41
drug_score_total,0.52
