Property,Value
name,Gefitinib
iupac_name,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine
smiles,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
cid,123631
inchi,"InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)"
inchikey,XGALLCVXEZPNRQ-UHFFFAOYSA-N
mol_weight,446.91
num_H_acceptors,7
num_H_donors,1
logp,4.28
tpsa,68.74
num_rot_bonds,8
saturation,0.36
drug_score_qed,0.52
drug_score_lipinski,1.0
drug_score_custom,0.56
drug_score_total,0.61
