Property,Value
name,Sapitinib
iupac_name,2-[4-[4-(3-chloro-2-fluoroanilino)-7-methoxyquinazolin-6-yl]oxypiperidin-1-yl]-N-methylacetamide
smiles,CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
cid,11488320
inchi,"InChI=1S/C23H25ClFN5O3/c1-26-21(31)12-30-8-6-14(7-9-30)33-20-10-15-18(11-19(20)32-2)27-13-28-23(15)29-17-5-3-4-16(24)22(17)25/h3-5,10-11,13-14H,6-9,12H2,1-2H3,(H,26,31)(H,27,28,29)"
inchikey,DFJSJLGUIXFDJP-UHFFFAOYSA-N
mol_weight,473.936
num_H_acceptors,7
num_H_donors,2
logp,3.76
tpsa,88.61
num_rot_bonds,7
saturation,0.35
drug_score_qed,0.54
drug_score_lipinski,1.0
drug_score_custom,0.55
drug_score_total,0.62
