Property,Value
name,Betrixaban
iupac_name,"N-(5-chloropyridin-2-yl)-2-[[4-(N,N-dimethylcarbamimidoyl)benzoyl]amino]-5-methoxybenzamide"
smiles,CN(C)C(=N)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)OC)C(=O)NC3=NC=C(C=C3)Cl
cid,10275777
inchi,"InChI=1S/C23H22ClN5O3/c1-29(2)21(25)14-4-6-15(7-5-14)22(30)27-19-10-9-17(32-3)12-18(19)23(31)28-20-11-8-16(24)13-26-20/h4-13,25H,1-3H3,(H,27,30)(H,26,28,31)"
inchikey,XHOLNRLADUSQLD-UHFFFAOYSA-N
mol_weight,451.914
num_H_acceptors,5
num_H_donors,3
logp,4.14
tpsa,107.41
num_rot_bonds,6
saturation,0.13
drug_score_qed,0.39
drug_score_lipinski,1.0
drug_score_custom,0.51
drug_score_total,0.53
