Property,Value
name,Dacomitinib
iupac_name,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-methoxyquinazolin-6-yl]-4-piperidin-1-ylbut-2-enamide
smiles,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
cid,11511120
inchi,"InChI=1S/C24H25ClFN5O2/c1-33-22-14-20-17(24(28-15-27-20)29-16-7-8-19(26)18(25)12-16)13-21(22)30-23(32)6-5-11-31-9-3-2-4-10-31/h5-8,12-15H,2-4,9-11H2,1H3,(H,30,32)(H,27,28,29)/b6-5+"
inchikey,LVXJQMNHJWSHET-AATRIKPKSA-N
mol_weight,469.948
num_H_acceptors,6
num_H_donors,2
logp,5.16
tpsa,79.38
num_rot_bonds,7
saturation,0.29
drug_score_qed,0.47
drug_score_lipinski,0.75
drug_score_custom,0.51
drug_score_total,0.53
