Property,Value
name,Varlitinib
iupac_name,"4-N-[3-chloro-4-(1,3-thiazol-2-ylmethoxy)phenyl]-6-N-[(4R)-4-methyl-4,5-dihydro-1,3-oxazol-2-yl]quinazoline-4,6-diamine"
smiles,CC1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
cid,42642648
inchi,"InChI=1S/C22H19ClN6O2S/c1-13-10-31-22(27-13)29-14-2-4-18-16(8-14)21(26-12-25-18)28-15-3-5-19(17(23)9-15)30-11-20-24-6-7-32-20/h2-9,12-13H,10-11H2,1H3,(H,27,29)(H,25,26,28)/t13-/m1/s1"
inchikey,UWXSAYUXVSFDBQ-CYBMUJFWSA-N
mol_weight,466.954
num_H_acceptors,9
num_H_donors,2
logp,5.25
tpsa,93.55
num_rot_bonds,6
saturation,0.18
drug_score_qed,0.4
drug_score_lipinski,0.75
drug_score_custom,0.46
drug_score_total,0.48
