Property,Value
name,Canertinib
iupac_name,N-[4-(3-chloro-4-fluoroanilino)-7-(3-morpholin-4-ylpropoxy)quinazolin-6-yl]prop-2-enamide
smiles,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
cid,156414
inchi,"InChI=1S/C24H25ClFN5O3/c1-2-23(32)30-21-13-17-20(14-22(21)34-9-3-6-31-7-10-33-11-8-31)27-15-28-24(17)29-16-4-5-19(26)18(25)12-16/h2,4-5,12-15H,1,3,6-11H2,(H,30,32)(H,27,28,29)"
inchikey,OMZCMEYTWSXEPZ-UHFFFAOYSA-N
mol_weight,485.947
num_H_acceptors,7
num_H_donors,2
logp,4.39
tpsa,88.61
num_rot_bonds,9
saturation,0.29
drug_score_qed,0.34
drug_score_lipinski,1.0
drug_score_custom,0.46
drug_score_total,0.49
