Property,Value
name,Fluazuron
iupac_name,"N-[[4-chloro-3-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenyl]carbamoyl]-2,6-difluorobenzamide"
smiles,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F
cid,65651
inchi,"InChI=1S/C20H10Cl2F5N3O3/c21-11-5-4-10(29-19(32)30-17(31)16-13(23)2-1-3-14(16)24)7-15(11)33-18-12(22)6-9(8-28-18)20(25,26)27/h1-8H,(H2,29,30,31,32)"
inchikey,YOWNVPAUWYHLQX-UHFFFAOYSA-N
mol_weight,506.214
num_H_acceptors,4
num_H_donors,2
logp,6.44
tpsa,80.32
num_rot_bonds,4
saturation,0.05
drug_score_qed,0.4
drug_score_lipinski,0.5
drug_score_custom,0.57
drug_score_total,0.47
