Property,Value
name,Regorafenib
iupac_name,4-[4-[[4-chloro-3-(trifluoromethyl)phenyl]carbamoylamino]-3-fluorophenoxy]-N-methylpyridine-2-carboxamide
smiles,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F
cid,11167602
inchi,"InChI=1S/C21H15ClF4N4O3/c1-27-19(31)18-10-13(6-7-28-18)33-12-3-5-17(16(23)9-12)30-20(32)29-11-2-4-15(22)14(8-11)21(24,25)26/h2-10H,1H3,(H,27,31)(H2,29,30,32)"
inchikey,FNHKPVJBJVTLMP-UHFFFAOYSA-N
mol_weight,482.821
num_H_acceptors,4
num_H_donors,3
logp,5.69
tpsa,92.35
num_rot_bonds,5
saturation,0.1
drug_score_qed,0.41
drug_score_lipinski,0.75
drug_score_custom,0.52
drug_score_total,0.5
