Property,Value
name,Dapivirine
iupac_name,"4-[[4-(2,4,6-trimethylanilino)pyrimidin-2-yl]amino]benzonitrile"
smiles,CC1=CC(=C(C(=C1)C)NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C
cid,214347
inchi,"InChI=1S/C20H19N5/c1-13-10-14(2)19(15(3)11-13)24-18-8-9-22-20(25-18)23-17-6-4-16(12-21)5-7-17/h4-11H,1-3H3,(H2,22,23,24,25)"
inchikey,ILAYIAGXTHKHNT-UHFFFAOYSA-N
mol_weight,329.407
num_H_acceptors,5
num_H_donors,2
logp,4.76
tpsa,73.63
num_rot_bonds,4
saturation,0.15
drug_score_qed,0.72
drug_score_lipinski,1.0
drug_score_custom,0.7
drug_score_total,0.76
