Property,Value
name,Afatinib
iupac_name,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide
smiles,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4
cid,10184653
inchi,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1"
inchikey,ULXXDDBFHOBEHA-CWDCEQMOSA-N
mol_weight,485.947
num_H_acceptors,7
num_H_donors,2
logp,4.39
tpsa,88.61
num_rot_bonds,8
saturation,0.29
drug_score_qed,0.46
drug_score_lipinski,1.0
drug_score_custom,0.48
drug_score_total,0.56
