Property,Value
name,"(S)-N1-((1H-Benzo[d]imidazol-2-yl)methyl)-N1-(5,6,7,8-tetrahydroquinolin-8-yl)butane-1,4-diamine"
iupac_name,"N'-(1H-benzimidazol-2-ylmethyl)-N'-[(8S)-5,6,7,8-tetrahydroquinolin-8-yl]butane-1,4-diamine"
smiles,C1CC(C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3
cid,11256587
inchi,"InChI=1S/C21H27N5/c22-12-3-4-14-26(15-20-24-17-9-1-2-10-18(17)25-20)19-11-5-7-16-8-6-13-23-21(16)19/h1-2,6,8-10,13,19H,3-5,7,11-12,14-15,22H2,(H,24,25)/t19-/m0/s1"
inchikey,WVLHHLRVNDMIAR-IBGZPJMESA-N
mol_weight,349.482
num_H_acceptors,4
num_H_donors,2
logp,3.58
tpsa,70.83
num_rot_bonds,7
saturation,0.43
drug_score_qed,0.64
drug_score_lipinski,1.0
drug_score_custom,0.78
drug_score_total,0.75
