Property,Value
name,"(R)-4-((3-chloro-2-fluorophenyl)amino)-7-methoxyquinazolin-6-yl 2,4-dimethylpiperazine-1-carboxylate"
iupac_name,"[4-(3-chloro-2-fluoroanilino)-7-methoxyquinazolin-6-yl] (2R)-2,4-dimethylpiperazine-1-carboxylate"
smiles,CC1CN(CCN1C(=O)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC)C
cid,78209992
inchi,"InChI=1S/C22H23ClFN5O3/c1-13-11-28(2)7-8-29(13)22(30)32-19-9-14-17(10-18(19)31-3)25-12-26-21(14)27-16-6-4-5-15(23)20(16)24/h4-6,9-10,12-13H,7-8,11H2,1-3H3,(H,25,26,27)/t13-/m1/s1"
inchikey,MXDSJQHFFDGFDK-CYBMUJFWSA-N
mol_weight,459.909
num_H_acceptors,7
num_H_donors,1
logp,4.31
tpsa,79.82
num_rot_bonds,4
saturation,0.32
drug_score_qed,0.62
drug_score_lipinski,1.0
drug_score_custom,0.61
drug_score_total,0.68
