Property,Value
name,Evobrutinib
iupac_name,1-[4-[[[6-amino-5-(4-phenoxyphenyl)pyrimidin-4-yl]amino]methyl]piperidin-1-yl]prop-2-en-1-one
smiles,C=CC(=O)N1CCC(CC1)CNC2=NC=NC(=C2C3=CC=C(C=C3)OC4=CC=CC=C4)N
cid,71479709
inchi,"InChI=1S/C25H27N5O2/c1-2-22(31)30-14-12-18(13-15-30)16-27-25-23(24(26)28-17-29-25)19-8-10-21(11-9-19)32-20-6-4-3-5-7-20/h2-11,17-18H,1,12-16H2,(H3,26,27,28,29)"
inchikey,QUIWHXQETADMGN-UHFFFAOYSA-N
mol_weight,429.524
num_H_acceptors,6
num_H_donors,2
logp,4.35
tpsa,93.37
num_rot_bonds,7
saturation,0.24
drug_score_qed,0.54
drug_score_lipinski,1.0
drug_score_custom,0.53
drug_score_total,0.61
