Property,Value
name,Sorafenib
iupac_name,4-[4-[[4-chloro-3-(trifluoromethyl)phenyl]carbamoylamino]phenoxy]-N-methylpyridine-2-carboxamide
smiles,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
cid,216239
inchi,"InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)"
inchikey,MLDQJTXFUGDVEO-UHFFFAOYSA-N
mol_weight,464.831
num_H_acceptors,4
num_H_donors,3
logp,5.55
tpsa,92.35
num_rot_bonds,5
saturation,0.1
drug_score_qed,0.46
drug_score_lipinski,0.75
drug_score_custom,0.53
drug_score_total,0.53
