,chembl_id,IC50,units,canonical_smiles,pIC50
1777,CHEMBL207869,77,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#Cc3ncccn3)cncn2)c1,7.1135092
5785,CHEMBL3940060,330,nM,ClCC(=O)OCCN1C(=O)Oc2c1cc1c(Nc3cc(Cl)c(F)cc3)ncnc1c2,6.4814858
6373,CHEMBL3678951,1,nM,FC(F)(F)c1cc(Nc2n(C(C)C)c3nc(Nc4ccc(N5CC[NH+](C)CC5)cc4)ncc3n2)ccc1,9
2442,CHEMBL504034,40,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2sc(C#C[C@H]2NC[C@H](OC(=O)NCCS(=O)(=O)C)C2)c3)c1,7.3979402
1084,CHEMBL158797,43000,nM,S(Sc1n(C)c2c(c1C(=O)NCC(O)CO)cccc2)c1n(C)c2c(c1C(=O)NCC(O)CO)cccc2,4.3665314
6596,CHEMBL4069003,3,nM,Brc1cc(Nc2ncnc3c2cc(OCCCOP(=O)(N(CCCl)CCCl)N)cc3)ccc1,8.5228786
2986,CHEMBL599047,0.85000002,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)CN2C(=O)c4c(S2)cccc4)cc3)ccc1,9.0705814
1263,CHEMBL93545,53,nM,Brc1cc(Nc2ncnc3c2cc([N+](=O)[O-])c(N)c3)ccc1,7.2757239
1099,CHEMBL93181,10,nM,Brc1cc(Nc2ncnc3c2ccc(OC)c3)ccc1,8
1690,CHEMBL203644,0.30000001,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)C#CC)nc3)c1,9.5228786
3047,CHEMBL591706,32120,nM,Clc1c(O)c(CN(C(=O)Nc2ccccc2)CCCC)ccc1,4.4932246
1888,CHEMBL217536,60,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)C2SSCC2)cc3)ccc1,7.221849
2821,CHEMBL498134,16,nM,Fc1cc(Cn2ncc3c2ccc(Nc2c(/C=N/N4CC[NH+](C)CC4)c(N)ncn2)c3)ccc1,7.7958798
2091,CHEMBL248674,402.10001,nM,O(C)c1c(OC)cc2ncnc(Nc3cc(C#CCCO)ccc3)c2c1,6.3956661
2678,CHEMBL129579,4.7859998,nM,Brc1cc(Nc2ncnc3c2cnc(NCC(O)C(O)C(O)C(O)CO)c3)ccc1,8.3200274
91,CHEMBL78150,460000,nM,Oc1c(C(C)(C)C)cc(C=C(C#N)C#N)cc1C(C)(C)C,3.3372421
3342,CHEMBL1241948,100000,nM,S(=O)([O-])(=Nc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1)C,4
4864,CHEMBL3233765,3399,nM,Clc1c(F)ccc(Nc2ncnc3sc(NC(=O)CN4CC[NH+](C)CC4)cc23)c1,5.4686489
2541,CHEMBL490266,1.8,/uM,O=[N+]([O-])c1n(C[C@@H](OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)COc2ccc(C(C)(C)C)cc2)ccn1,8.7447271
1530,CHEMBL103860,3300,nM,O=C([O-])c1c(O)ccc(CCc2c(O)ccc(O)c2)c1,5.4814858
5523,CHEMBL3752916,310.76001,nM,FC(F)(F)c1cc(NC(=O)Nc2sccn2)cc(-c2ncn(C)c2)c1,6.507575
1298,CHEMBL93784,65,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)C#CCN2C(COC)CCC2)cc3)ccc1,7.1870866
4145,CHEMBL2047247,26000,nM,Clc1ccc(Nc2nc(N)nc3c2-c2c(cccc2)C3)cc1,4.5850267
2929,CHEMBL592153,1350,nM,O=C(NCCCCCCCCCCCCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,5.8696661
3948,CHEMBL1947122,9021,nM,Clc1cc(Nc2c(C(=O)[O-])c[nH+]c3c2cc(OC)c(OC)c3)ccc1,5.0447454
4295,CHEMBL2283257,15740,nM,Brc1c(NC(=O)/C=C/c2ccccc2)cccc1,4.8029952
1156,CHEMBL53637,1.6,nM,Clc1cc(Nc2ncnc3c2cc(NC(=O)C=C)cc3)ccc1,8.7958803
3445,CHEMBL1257911,989,nM,Clc1c(C2=Nc3c(n[nH]c3)Nc3c2cc(N)cc3)cccc1,6.0048037
5313,CHEMBL1614725,1,nM,Clc1c(Oc2cc(C(F)(F)F)ccc2)ccc(Nc2ncnc3c2n(CCNC(=O)CC(O)(C)C)cc3)c1,9
1180,CHEMBL21108,90000,nM,O=C1NC(=O)c2c3c([nH]c4c(O)cccc34)c3n(C4C(O)C(O)C(O)C(CO)O4)c4c(O)cccc4c3c12,4.0457573
5011,CHEMBL3335245,76700,nM,BrC=1C(=CNc2cc3NC(=O)Nc3cc2)C(=O)C(OCC)=CC=1Br,4.1152048
3718,CHEMBL1821893,7480,nM,O(C)c1ccc(C2=NN(c3scc(-c4ccccc4)n3)C(c3ccc(C)cc3)C2)cc1,5.1260986
6727,CHEMBL4065503,120,nM,Clc1cc(Nc2ncnc3c2cc(NC(=S)Nc2sc(C)nn2)cc3)ccc1,6.9208188
1451,CHEMBL294681,1800000,nM,[SH0](=O)(C)c1ccc(C=C(C#N)C#N)cc1,2.7447276
2336,CHEMBL483232,4000,nM,S(Cc1c([O-])c(OCC)cc(/C=C(\C#N)/C(=O)N)c1)c1cc(OC)ccc1,5.3979402
4479,CHEMBL2385986,1200,nM,Clc1c(OCc2ncccc2)ccc(NC(=O)c2cc(NC(=O)/C=C/C[NH+](C)C)c(OCC)cc2)c1,5.9208188
4587,CHEMBL3436359,11.4,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(CN4CCN(C(=O)C)CC4)cc2)cc3)c1,7.9430952
3156,CHEMBL1095131,161600,nM,Clc1c(Cc2[nH]c3nc(N)nc(Nc4cc(F)ccc4)c3c2)ccc(Cl)c1,3.7915587
1709,CHEMBL205149,10,nM,Clc1c(F)ccc(Nc2ncnc3c2c(OC2CC[NH2+]CC2)cc(OC)c3)c1,8
4572,CHEMBL2425737,19,nM,Brc1cc(Nc2ncnc3c2cc(NC(=O)CCOc2ccccc2)cc3)ccc1,7.7212462
382,CHEMBL263666,4700,nM,[Se]([Se]c1n(C)c2c(c1C(=O)NCC[NH+](CC)CC)cccc2)c1n(C)c2c(c1C(=O)NCC[NH+](CC)CC)cccc2,5.3279023
5425,CHEMBL3740910,4.0999999,nM,FC(F)(F)c1cc(Nc2ncnc3c2cc(NC(=O)Nc2ccc(C[NH+]4CCCC4)cc2)cc3)ccc1,8.3872166
1510,CHEMBL57300,7000,nM,Oc1c(O)ccc2C(=C(C#N)C#N)CCc12,5.154902
2956,CHEMBL598377,3.0999999,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCCCCCC(=O)NO)c(OC)c3)c1,8.5086384
4450,CHEMBL2348194,2991,nM,N([C@H](C)c1ccccc1)c1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1,5.5241838
4661,CHEMBL3092309,165,nM,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)NCC[NH+]2CCCCC2)c(O[C@@H]2COCC2)c3)c1,6.782516
4116,CHEMBL2029697,72400,nM,Clc1c(Cn2nc(NC(=O)c3c(C)nn(C)c3)cc2)c(F)ccc1,4.1402617
3099,CHEMBL1080812,867,nM,Clc1c(OCc2ncccc2)ccc(Nc2nncc3[nH]c(C(=O)NCCN4CCOCC4)c(C)c23)c1,6.0619807
3087,CHEMBL1088348,23500,nM,O=C(Nc1ccc(C)cc1)C1=C(C)NC(=[NH+]Cc2ccccc2)NC1c1c(O)cc(O)cc1,4.628932
6247,CHEMBL3671572,32,nM,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CN2CCOCC2)c3)cc1,7.4948502
4337,CHEMBL2312304,4090,nM,Clc1c(CNc2nc(NC3CCCC3)c(C(=O)NCCCN3C(=O)OCC3)cn2)cc(Cl)cc1,5.3882766
42,CHEMBL78184,833000,nM,Fc1ccc(/C=C(/C(=O)[O-])\C#N)cc1,3.079355
697,CHEMBL283682,258.89999,nM,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)cc3)ccc1,6.5868678
5295,CHEMBL3628907,1260,nM,Brc1cc(NC(=O)Nc2c(Cl)cc(Oc3ncnc4sc5c(c34)CCCC5)cc2)ccc1,5.8996296
6600,CHEMBL4087646,6,nM,ClCCN(P(=O)(OCCCCOc1cc2c(Nc3cc(Cl)c(F)cc3)ncnc2cc1)N)CCCl,8.2218485
3588,CHEMBL110036,812.83002,nM,O(C)c1c(OC)cc2ncc(C#N)c(Nc3cc(N)ccc3)c2c1,6.0900002
6675,CHEMBL4091166,169.39999,nM,Clc1cc(Nc2c3c([nH+]cc2)ccc(NC(=O)C2CCC4(OOC5(C6CC7CC5CC(C6)C7)CO4)CC2)c3)ccc1,6.7710867
564,CHEMBL415738,1,nM,OCCNc1ncnc(Nc2cc(C)ccc2)c1,9
3487,CHEMBL1641989,4100,nM,Brc1cc(Nc2ncc(C#N)c3c2cc(NC(=O)CCC[NH+](C)C)cc3)ccc1,5.3872161
2451,CHEMBL450396,50,nM,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2sc(C#C[C@@H]2NC[C@H](OC(=O)N4CCOCC4)C2)c3)c1,7.3010302
6815,CHEMBL4104717,224.5,nM,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCC6(CC[NH+](C)CC6)CC5)cc4)ncc3C2)cc(OC)cc1,6.6487837
1088,CHEMBL117697,842,nM,O(C)c1cc(Nc2ncnc3c2cccc3)ccc1,6.074688
628,CHEMBL168921,2200,nM,O(C(C)(C)C)C(=O)N1CC(n2c3ncnc(N)c3c(-c3cc(O)ccc3)c2)CC1,5.6575775
4085,CHEMBL2029436,0.30000001,nM,O=C(Nc1cc(N2C(=O)N(c3ccccc3)Cc3c2nc(Nc2c(OC)cc(N4CC[NH+](C)CC4)cc2)nc3)ccc1)C=C,9.5228786
