chembl_compound_id,chembl_activity_id,pIC50,smiles
CHEMBL5281446,25073529,5.62,CC(C)c1nn(C(C)C)c2cc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)ncc12
CHEMBL5902190,28404923,7.89,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(N[C@@H](c3ccccc3)C3CC3)c2c1)C1=CN(C2(C(F)(F)F)CC2)NN1
CHEMBL2070192,10988323,5.99,Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1
CHEMBL5630498,26142957,7.65,C=CC(=O)Nc1cc(Nc2nccc(-c3ncn4c(C)cccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4473365,19158938,8.4,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5933788,28404938,8.52,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)(F)F)CC4)NN3)cccc2c1=O
CHEMBL5406303,25533382,8.12,CCS(=O)(=O)n1cc(-c2ccnc(Nc3ccc4c(cnn4CCN(C)C)c3)n2)c2ccccc21
CHEMBL2426279,15073047,7.2,C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL3425663,15257649,7.09,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)/C(C#N)=C/c3cnc[nH]3)c2)n1
CHEMBL3416593,15229683,6.2,COc1ccccc1-c1cc2c(N[C@@H](CO)c3ccccc3)ncnc2s1
CHEMBL2325108,12657576,6.68,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1cccc2ccccc12
CHEMBL4084214,18189811,5.47,CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(F)c3)c3c(N)ncnc32)C1
CHEMBL5178971,24741580,9.55,CCN(C)C1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1
CHEMBL4519860,19287513,6.92,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(Br)cc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O
CHEMBL182397,1453214,5.55,COc1cc2ncnc(Nc3cccc(NC(=O)c4ccccc4)c3F)c2cc1OC
CHEMBL208849,1721404,5.77,Cc1cccc(Nc2ncnc3ccc(NC(=O)N(C)CCCl)cc23)c1
CHEMBL5807627,28517198,5.8,C=CC(=O)N1CCCC(N(C)c2nc(Nc3ccc(N4CCOCC4)cc3)c3c(c2F)CNC3=O)C1
CHEMBL4563683,19122078,7.82,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2ccc(C)cc2)nn1
CHEMBL5435033,25533395,7.85,CCS(=O)(=O)n1cc(-c2nc(Nc3ccc4c(ccn4CCN(C)C)c3)ncc2C(F)(F)F)c2ccccc21
CHEMBL3297894,14752130,7.52,Cc1nc(Nc2ccc(F)c(Cl)c2)c2cc(C)oc2n1
CHEMBL5939638,27069893,5.26,CCC(=O)N1CCC(c2ccc(Nc3nc(N4CCC[C@@H](NC(=O)N(C)C)C4)cnc3C(N)=O)cc2)CC1
CHEMBL325981,6261351,5.29,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCCCO3
CHEMBL4081698,18189808,5.33,CCC(=O)N1CCC[C@@H](n2nc(-c3ccccc3)c3c(N)ncnc32)C1
CHEMBL4877452,23203430,6.75,O=C1N=C(NN2Cc3ccccc3N=C2c2ccccc2)S/C1=C/c1ccc(O)cc1O
CHEMBL6042351,28517168,5.13,C=CC(=O)N1CCCC(Nc2nc(-c3cnc(C)s3)c3c(c2F)CNC3=O)C1
CHEMBL5425734,25691170,7.1,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(NCCOC)c23)c1
CHEMBL5907345,28722398,5.77,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(C(F)(F)F)cc4)ncnc3cc2OC)C1
CHEMBL4087646,17956899,8.22,NP(=O)(OCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)N(CCCl)CCCl
CHEMBL5768939,28403795,8.05,Cc1ncsc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(Nc3ccc(Cl)c(Cl)c3F)c2c1)C1=CN(C2CCN(C(C)(C)C)CC2)NN1
CHEMBL3699607,16293868,8.26,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC(F)(F)F)ncc2C(F)(F)F)c1
CHEMBL4079393,18060723,8.6,C=CC(=O)Nc1cccc(Nc2cc(-c3[nH]c(SCCNC(=O)CC)nc3-c3ccccc3)ccn2)c1
CHEMBL6017173,27652691,5.26,C/C=C/C(=O)OCc1ccc(Nc2nc(Nc3ccccc3)ncc2C)cc1
CHEMBL4743173,22844299,7.17,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)c1cc([N+](=O)[O-])ccc1F
CHEMBL55994,1159508,5.51,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1
CHEMBL1958213,8049017,5.7,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(F)cc3)C2)cc1
CHEMBL604914,3126315,7.12,O=C(COc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL5831739,26961340,7.59,Nc1ncnc2c1c(C(=O)Nc1nc3cc(Cl)ccc3o1)cn2[C@@H]1CCN(C(=O)/C=C/CN2CCCC2)C1
CHEMBL5403085,25599163,7.14,CC(C)Nc1cc(Nc2ccnc(-c3cnn(S(=O)(=O)C4CC4)c3)n2)ncc1C(=O)N1CC(C(C)(C)O)C1
CHEMBL5920414,27652856,7.26,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2C(C)=O)c1
CHEMBL3263961,14652514,5.86,COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(-c5cnn(C)c5)c4)cc3F)ccnc2cc1OCCCN1CCOCC1
CHEMBL2385990,13322642,6.35,Cc1ccc(NC(=O)/C=C/CN(C)C)cc1C(=O)Nc1ccc(OCc2cccc(F)c2)c(Cl)c1
CHEMBL3403518,15176435,6.99,Cc1nc(N(C)c2ccc(OC(C)C)cc2)c2cc(C)oc2n1
CHEMBL4226676,18581463,6.48,CN(C)C1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1
CHEMBL391321,1951307,7.35,OCCNCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
CHEMBL6000674,28403705,8.52,N#Cc1cnc2c(Cl)cc(N[C@H](C3=CN(C4CC4)NN3)c3cccnc3)cc2c1Nc1cnc(F)c(F)c1
CHEMBL6026116,28405685,8.7,COC1=C([C@@H](Nc2cc(C#N)c3ncc(C#N)c(NCC(C)(C)C)c3c2)c2ccc(F)nc2C)NNN1C12CC(C1)C2
CHEMBL321494,18060591,8.6,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1
CHEMBL5822224,27653168,7.26,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccccc3)ncc2F)c1
CHEMBL5178754,24848253,8.4,CN1CCC(c2ccc(-c3ccc4cnn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1
CHEMBL508481,2390189,8.8,C=C(C)C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL3958624,16895231,9.15,C=CC(=O)N1CC[C@@H](Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C[C@@H]1C(N)=O
CHEMBL3740614,16404682,4.94,C=CC(=O)Nc1cccc(Nc2nc(N/N=C/c3ccc(F)cc3F)ncc2Cl)c1
CHEMBL5395951,25665209,7.75,CCS(=O)(=O)N1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)s2)CC1
CHEMBL4074248,18117559,6.54,NCCn1c(-c2ccccc2)nc2cc(Cl)ccc2c1=O
CHEMBL5993587,28697780,8.11,CCN1CCN(CCNc2nccc(-c3c(-c4ccc(F)c(O)c4)nc4sccn34)n2)S1(=O)=O
CHEMBL55979,1145373,6.235,CC(NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1
CHEMBL2031310,10888049,7.29,C=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c(C#N)cnc2cc1OCC
CHEMBL3353404,15073144,6.22,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4437721,27540812,5.66,NC(=O)c1c(-c2ccc(Oc3ccc(Cl)cc3)cc2)nn([C@@H]2CCCN(C(=O)/C=C/CO)C2)c1N
CHEMBL6055537,28405964,7.82,COC1=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(NCC(C)(C)C)c3c2)c2ccc(OC)nc2C)NNN1C1(C(F)F)CC1
CHEMBL3911796,16811416,8.38,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)nn1)NO
CHEMBL3234736,14571448,6.26,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1cccnc1
CHEMBL3234746,14571458,7.37,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1cnc(NC(C)C)nc1
CHEMBL4791108,22968048,6.48,CCN1CCN(c2ccc(Nc3nc(Oc4ccc5ccc(=O)[nH]c5c4)c4sccc4n3)c(OC)c2)CC1
CHEMBL4865792,23250027,6.02,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)CCl)c2)n1
CHEMBL4861493,23276949,5.95,COc1ccc(C(Nc2ccc(Cl)cc2)n2c(=O)ccc3cc(O)ccc32)cc1
CHEMBL6040910,28403819,8.4,CC(C)N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)C2=CCOCC2)NN1
CHEMBL5740396,28405661,8.52,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(C)(C)C)CC2)NN1
CHEMBL194160,1601145,5.96,CCc1c(CC(N)=O)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12
CHEMBL4083916,18172271,6.44,CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C(C)C)c4)nc32)C1
CHEMBL5769479,27619499,4.6,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4CCN(CCF)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL3909201,16895182,9.15,C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C1
CHEMBL3944572,16668224,6.05,CCC(=O)Nc1cc2c(Nc3ccc(Oc4cccc(F)c4)cc3)ncnc2cc1OC
CHEMBL5872048,26749946,6.37,O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)c5ccccc5F)[C@H]3O4)ccnc2N1
CHEMBL4778717,22965625,5.72,O=S(=O)(Nc1ccccn1)c1ccc(NC(=S)Nc2ccc3c(c2)OCO3)cc1
CHEMBL5746447,27071960,6.26,CN(C)C(=O)N[C@@H]1CCCCN(c2cnc(C(N)=O)c(Nc3ccc(C4CCN(C5CCCC5)CC4)cc3)n2)C1
CHEMBL3676344,26587715,7.75,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(F)c3F)ncnc2cc1OCCNC(=O)CN(C)C
CHEMBL1958032,8049005,4.85,O=C1CSC(N2N=C(c3ccc(Cl)cc3)CC2c2ccc(F)cc2)=N1
CHEMBL497459,2567868,8.1,CN(C)/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1
CHEMBL5822544,28517243,5.21,C=CC(=O)N1CCC[C@@H](N(C)c2nc(-c3cnn(C)c3)c3c(c2F)CNC3=O)C1
CHEMBL382041,1696692,6.17,COCCOc1cc(OC2CCOCC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1
CHEMBL5916687,28405385,8.22,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)CO)c4c3)C3=CN(C45CC(C4)C5)NN3)cccc2c1=O
CHEMBL3622654,15743457,8.05,COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C1CC1
CHEMBL377772,1715581,6.77,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O
CHEMBL5567355,25979178,9.12,CC(C)NC/C=C/C(=O)Nc1ccc2ncnc3c2c1C=CN3c1ccc(OCc2ccccn2)c(Cl)c1
CHEMBL5849925,28405973,8.1,COC1=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(NCC(C)(C)C)c3c2)c2ccc(F)nc2C)NNN1C
CHEMBL2426377,13446037,6.54,COc1ccc(NC(=O)/C=C/CN(C)C)cc1Nc1ncc(C)c(-c2cnn3ccccc23)n1
CHEMBL4870560,23256352,7.19,O=C(NO)c1ccccc1Nc1nc(Nc2ccc(OCCCN3CCOCC3)cc2)ncc1Cl
CHEMBL5204446,24871215,5.95,COc1cc2ncnc3c2cc1OCCOCCOCCOc1ccccc1N3
CHEMBL5913601,28405406,8.52,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(CF)CC4)NN3)cccc2c1=O
CHEMBL3814182,16612258,6.18,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2c1
