canonical_smiles,molecule_chembl_id
COc1ccc(NC(=O)c2ccc(cc2)N(CCCl)CCCl)cc1,CHEMBL589588
N(c1ccc2[nH]ccc2c1)c3ncnc4cc(sc34)c5ccccc5,CHEMBL76432
CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,CHEMBL460731
NC(=O)C1CCN(Cc2ccc(cc2)c3cc4nccc(Nc5ccc6[nH]ccc6c5)c4s3)CC1,CHEMBL431977
CC(C)(CO)NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2,CHEMBL308498
Brc1cccc(Nc2ncnc3cnc(cc23)S(=O)(=O)C=C)c1,CHEMBL336264
CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL433520
CN(C)CCCOC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL140561
CN(C)CCCNC(=O)\C=C\C(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL136102
Cc1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1,CHEMBL68920
CN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2,CHEMBL305246
NC(=C(C#N)C#N)\C(=C\c1ccc(O)cc1)\C#N,CHEMBL76589
Cc1cccc(Nc2ncnc3cnc(N)cc23)c1,CHEMBL165495
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,CHEMBL162142
CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL161956
COc1cccc(c1)c2cn(C3CC(C3)C(=O)NCCO)c4ncnc(N)c24,CHEMBL354310
CCN(CC)CCCSc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)C=C,CHEMBL31326
Brc1ccc2CCN(c2c1)c3ncnc4ccc(NC(=O)C=C)cc34,CHEMBL51741
Fc1ccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc1Br,CHEMBL280757
CN1CCN(CCCOc2cc3ncnc(Nc4cccc(Br)c4)c3cc2NC(=O)C=C)CC1,CHEMBL32844
COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2nc1NC(=O)C=C,CHEMBL31570
Fc1ccc(Nc2ncnc3cc(\C=C\CCN4CCOCC4)c(NC(=O)C=C)nc23)cc1Cl,CHEMBL417478
COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN4CCN(C)CC4,CHEMBL283088
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN5CCOCC5)cc23)c1,CHEMBL40130
